addr1,addr2,city,state,zip,matchbackid,tsmart_latitude,tsmart_longitude,tsmart_geolevel,tsmart_censusid
14000 Westall St,,Austin,TX,78725,1,30.241837,-97.58842,Street,4.8453E+14
12135 Thompkins Dr,,Austin,TX,78753,2,30.388033,-97.660664,Street,4.8453E+14
11211 Tom Adams Dr,,Austin,TX,78753,3,30.373416,-97.669016,Street,4.8453E+14
10335 US Highway 290E,,Austin,TX,78737,4,30.225457,-97.947747,Street,4.8453E+14
14000 County Line Rd,,Austin,TX,78621,5,30.365182,-97.403985,Street,4.8453E+14
12809 New Sweden Church Rd,,Manor,TX,78653,6,30.403707,-97.482987,Street,4.8453E+14
1806 W Parmer Lane,,Austin,TX,78727,7,30.413523,-97.690666,Street,4.8453E+14
1500 North Railroad Ave,,Pflugerville,TX,78660,8,30.457139,-97.616799,Street,4.8453E+14
13801 Burnet Rd. #300,,Austin,TX,78727,9,30.438111,-97.698467,Street,4.8453E+14
"1501 Dessau Ridge Ln.
",,Austin,TX,78754,10,30.400107,-97.641101,Street,4.8453E+14
7201 Colony Loop Dr.,,Austin,TX,78724,12,30.302334,-97.637264,Street,4.8453E+14
6100 Berkman Drive,,Austin,TX,78723,13,30.314935,-97.692203,Street,4.8453E+14
7309 Lazy Creek Dr.,,Austin,TX,78724,14,30.31362,-97.657774,Street,4.8453E+14
5315 Ed Bluestein Blvd.,,Austin,TX,78723,15,30.291973,-97.663426,Street,4.8453E+14
2215 Kelly Ln.,,Pflugerville,TX,78660,16,30.468249,-97.586337,Street,4.8453E+14
1161 Angelina St.,,Austin,TX,78702,17,30.269919,-97.724347,Street,4.8453E+14
11316 Farmhaven Rd.,,Austin,TX,78754,18,30.352512,-97.616636,Street,4.8453E+14
2211 East MLK Jr. Blvd.,,Austin,TX,78702,19,30.280165,-97.7182,Street,4.8453E+14
1203 Springdale Rd,,Austin,TX,78721,20,30.278942,-97.686858,Street,4.8453E+14
3100 Rogge Ln.,,Austin,TX,78723,21,30.303154,-97.67812,Street,4.8453E+14
"5408 Westminster Dr.
",,Austin,TX,78723,22,30.306152,-97.689548,Street,4.8453E+14
5701 Cameron Rd.,,Austin,TX,78723,23,30.315133,-97.702051,Street,4.8453E+14
"203B East Pecan St.
",,Austin,TX,78701,24,30.352312,-97.698841,Street,4.8453E+14
3111 Speidel Dr,,Pflugerville,TX,78660,25,30.476753,-97.566476,Street,4.8453E+14
1201 East Rundberg Ln.,,Austin,TX,78753,26,30.353933,-97.681612,Street,4.8453E+14
1200 East Rundberg Ln.,,Austin,TX,78753,27,30.354157,-97.681213,Street,4.8453E+14
5501 Airport Blvd.,,Austin,TX,78751,28,30.316491,-97.713744,Street,4.8453E+14
1101 Picadilly Dr.,,Pflugerville,TX,78660,29,30.465005,-97.642012,Street,4.8453E+14
15822 Foothill Farms Loop,,Pflugerville,TX,78660,30,30.449182,-97.651409,Street,4.8453E+14
405 Denson Dr.,,Austin,TX,78752,31,30.32826,-97.719485,Street,4.8453E+14
1200 North Railroad Ave,,Pflugerville,TX,78660,32,30.453353,-97.617263,Street,4.8453E+14
2803 Loyola Ln.,,Austin,TX,78723,33,30.314899,-97.67407,Street,4.8453E+14
3808 Maplewood Ave.,,Austin,TX,78722,34,30.292359,-97.714579,Street,4.8453E+14
11300 Samsung Blvd.,,Austin,TX,78754,35,30.361524,-97.639463,Street,4.8453E+14
11316 Farmhaven Rd.,,Austin,TX,78754,36,30.352512,-97.616636,Street,4.8453E+14
7500 Blessing Ave.,,Austin,TX,78752,37,30.331962,-97.693195,Street,4.8453E+14
600 S. Heatherwilde Blvd.,,Pflugerville,TX,78660,38,30.44314,-97.643337,Street,4.8453E+14
400 Cooper Dr.,,Austin,TX,78753,39,30.360326,-97.696146,Street,4.8453E+14
701 West 51st St.,,Austin,TX,78751,40,30.318429,-97.730598,Street,4.8453E+14
4425 Red River St.,,Austin,TX,78751,41,30.304113,-97.719879,Street,4.8453E+14
3300 Killingsworth Ln.,,Pflugerville,TX,78660,42,30.411421,-97.604029,Street,4.8453E+14
12401 Scofield Farms Dr.,,Austin,TX,78758,43,30.407844,-97.688976,Street,4.8453E+14
5800 McNeil Dr.,,Austin,TX,78729,44,30.444992,-97.739588,Street,4.8453E+14
2400 Inner Campus Dr. (West Mall),,Austin,TX,78712,45,30.28721,-97.73512,Zip5,4.8453E+14
1511 Cripple Creek Dr.,,Austin,TX,78758,46,30.377504,-97.703849,Street,4.8453E+14
2610 West 10th St.,,Austin,TX,78703,47,30.285414,-97.774791,Street,4.8453E+14
401 West Braker Ln.,,Austin,TX,78753,48,30.380113,-97.683603,Street,4.8453E+14
6401 Cedar St.,,Austin,TX,78746,49,30.33952,-97.803937,Street,4.8453E+14
6007 Mount Bonnell Rd.,,Austin,TX,78731,50,30.348791,-97.779745,Street,4.8453E+14
3309 Kerbey Ln.,,Austin,TX,78703,51,30.304733,-97.751666,Street,4.8453E+14
3000 Shoreline Dr.,,Austin,TX,78728,52,30.454404,-97.683369,Street,4.8453E+14
14014 Thermal Dr.,,Austin,TX,78728,53,30.432331,-97.675553,Street,4.8453E+14
1201 Payton Gin Rd.,,Austin,TX,78758,54,30.361205,-97.707726,Street,4.8453E+14
11928 Stonehollow Dr.,,Austin,TX,78758,55,30.401733,-97.704685,Street,4.8453E+14
1718 Picadilly Dr.,,Round Rock,TX,78664,56,30.467113,-97.654606,Street,4.8453E+14
6401 Cedar St.,,Austin,TX,78746,57,30.33952,-97.803937,Street,4.8453E+14
5310 Duval Rd.,,Austin,TX,78727,58,30.418416,-97.743597,Street,4.8453E+14
2106 Klattenhoff Dr.,,Austin,TX,78728,59,30.441747,-97.678947,Street,4.8453E+14
6007 Mount Bonnell Rd.,,Austin,TX,78737,60,30.348791,-97.779745,Street,4.8453E+14
12601 Country Trails Ln.,,Austin,TX,78731,61,30.365985,-97.901905,Street,4.8453E+14
6500 Sitio Del Rio Blvd.,,Austin,TX,78730,62,30.39114,-97.842708,Street,4.8453E+14
5600 Sunshine Dr.,,Austin,TX,78756,63,30.326454,-97.729165,Street,4.8453E+14
2117 West 49th St.,,Austin,TX,78756,64,30.320338,-97.740293,Street,4.8453E+14
5206 Balcones Dr.,,Austin,TX,78731,65,30.334436,-97.759561,Street,4.8453E+14
3700 North Hills Dr.,,Austin,TX,78731,66,30.3531,-97.757892,Street,4.8453E+14
6310 Treadwell Boulevard,,Austin,TX,78757,67,30.343126,-97.748439,Street,4.8453E+14
4900 Fairview Dr.,,Austin,TX,78731,68,30.329886,-97.759712,Street,4.8453E+14
6301 Woodrow Ave,,Austin,TX,78757,69,30.334234,-97.730215,Street,4.8453E+14
7811 Rockwood Ln.,,Austin,TX,78757,70,30.358417,-97.738297,Street,4.8453E+14
5145 RM 620 North,,Austin,TX,78732,71,30.389871,-97.883756,Street,4.8453E+14
12024 Vista Parke Dr.,,Austin,TX,78726,72,30.416614,-97.855372,Street,4.8453E+14
8601 Tallwood Dr.,,Austin,TX,78759,73,30.377199,-97.749092,Street,4.8453E+14
7005 Northledge Dr.,,Austin,TX,78731,74,30.356285,-97.763124,Street,4.8453E+14
8401 Hathaway Dr.,,Austin,TX,78757,75,30.363637,-97.726486,Street,4.8453E+14
8134 Mesa Dr.,,Austin,TX,78759,76,30.373631,-97.75612,Street,4.8453E+14
1306 West Lynn St.,,Austin,TX,78703,77,30.281226,-97.758622,Street,4.8453E+14
2505 Steck Ave.,,Austin,TX,78757,78,30.361932,-97.72986,Street,4.8453E+14
2500 Exposition Blvd.,,Austin,TX,78703,79,30.297994,-97.767574,Street,4.8453E+14
1001 West Braker Ln.,,Austin,TX,78758,80,30.383666,-97.690814,Street,4.8453E+14
12207 Brigadoon Ln.,,Austin,TX,78727,81,30.418753,-97.719944,Street,4.8453E+14
2011 W. Rundberg Ln.,,Austin,TX,78758,82,30.373675,-97.719382,Street,4.8453E+14
8403 Mesa Dr.,,Austin,TX,78759,83,30.376104,-97.754148,Street,4.8453E+14
3500 West Parmer Lane,,Austin,TX,78727,84,30.423128,-97.70904,Street,4.8453E+14
1701 Kramer Ln.,,Austin,TX,78758,85,30.384897,-97.702781,Street,4.8453E+14
3901 Shoal Creek Blvd.,,Austin,TX,78756,86,30.308664,-97.74814,Street,4.8453E+14
3908 Ave. B,,Austin,TX,78751,87,30.303355,-97.735529,Street,4.8453E+14
2246 Guadalupe St.,,Austin,TX,78705,88,30.285922,-97.741918,Street,4.8453E+14
3205 Jones Rd.,,Austin,TX,78745,89,30.228393,-97.810392,Street,4.8453E+14
4020 Lost Oasis Hollow,,Austin,TX,78739,90,30.162699,-97.873351,Street,4.8453E+14
11408 FM 1826,,Austin,TX,78737,91,30.196492,-97.922385,Street,4.8453E+14
5913 LaCrosse Ave.,,Austin,TX,78739,92,30.192084,-97.881722,Street,4.8453E+14
10500 Jollyville Rd.,,Austin,TX,78759,93,30.399421,-97.749561,Street,4.8453E+14
