countyname,name,addr1,addr2,city,state,zip
Travis,Dailey Middle School,14000 Westall St,,Austin,TX,78725
Travis,Copperfield Elementary School,12135 Thompkins Dr,,Austin,TX,78753
Travis,Graham Elementary School,11211 Tom Adams Dr,,Austin,TX,78753
Travis,Manor ISD Administrative Building,10335 US Highway 290E,,Austin,TX,78737
Travis,Elgin High School,14000 County Line Rd,,Austin,TX,78621
Travis,New Sweden Lutheran Church,12809 New Sweden Church Rd,,Manor,TX,78653
Travis,Parmer Lane Elementary School,1806 W Parmer Lane,,Austin,TX,78727
Travis,Park Crest Middle School,1500 North Railroad Ave,,Pflugerville,TX,78660
Travis,National American University,13801 Burnet Rd. #300,,Austin,TX,78727
Travis,Dessau Elementary School,"1501 Dessau Ridge Ln.",,Austin,TX,78754
Travis,Wieland Elementary School,900 Tudor House Rd.,,Pflugerville,TX,78660
Travis,Turner-Roberts Rec. Center,7201 Colony Loop Dr.,,Austin,TX,78724
Travis,Memorial United Methodist Church,6100 Berkman Drive,,Austin,TX,78723
Travis,LBJ High School,7309 Lazy Creek Dr.,,Austin,TX,78724
Travis,YMCA East Community Branch,5315 Ed Bluestein Blvd.,,Austin,TX,78723
Travis,Murchison Elementary School,2215 Kelly Ln.,,Pflugerville,TX,78660
Travis,Carver Branch Library,1161 Angelina St.,,Austin,TX,78702
Travis,Bluebonnet Tr. Elementary School,11316 Farmhaven Rd.,,Austin,TX,78754
Travis,David Chapel Portable,2211 East MLK Jr. Blvd.,,Austin,TX,78702
Travis,Sims Elementary School,1203 Springdale Rd,,Austin,TX,78721
Travis,Pecan Springs Elementary School,3100 Rogge Ln.,,Austin,TX,78723
Travis,Blanton Elementary School,"5408 Westminster Dr.",,Austin,TX,78723
Travis,Messiah Lutheran Church,5701 Cameron Rd.,,Austin,TX,78723
Travis,Pfluger Hall,"203B East Pecan St.",,Austin,TX,78701
Travis,Blackhawk Amenity Center,3111 Speidel Dr,,Pflugerville,TX,78660
Travis,Gus Garcia Rec Center,1201 East Rundberg Ln.,,Austin,TX,78753
Travis,Dobie Middle School,1200 East Rundberg Ln.,,Austin,TX,78753
Travis,Travis County Airport Office,5501 Airport Blvd.,,Austin,TX,78751
Travis,Windermere Elem. School,1101 Picadilly Dr.,,Pflugerville,TX,78660
Travis,County Tax Office (Community Room),15822 Foothill Farms Loop,,Pflugerville,TX,78660
Travis,Reilly Elementary School,405 Denson Dr.,,Austin,TX,78752
Travis,Brookhollow Elem. School,1200 North Railroad Ave,,Pflugerville,TX,78660
Travis,Dottie Jordan Recreation Center,2803 Loyola Ln.,,Austin,TX,78723
Travis,Maplewood Elementary School,3808 Maplewood Ave.,,Austin,TX,78722
Travis,Pioneer Crossing Elementary School,11300 Samsung Blvd.,,Austin,TX,78754
