id,source_id,county_name,county_fips,LocationName,address_line1,location_detail ,city,state,state_fips,zip5,Zip4,Latitude,Longitude,Schedule,exceptions,Notes,Source,date_acquired,county_wide,van_precinct_ids
1,1,Travis,453,Dailey Middle School,14000 Westall St,,Austin,TX,48,78725,,30.241837,-97.58842,Street,4.85E+14,,,2/27/2016,Yes,
2,2,Travis,453,Copperfield Elementary School,12135 Thompkins Dr,,Austin,TX,48,78753,,30.388033,-97.660664,Street,4.85E+14,,,2/27/2016,Yes,
3,3,Travis,453,Graham Elementary School,11211 Tom Adams Dr,,Austin,TX,48,78753,,30.373416,-97.669016,Street,4.85E+14,,,2/27/2016,Yes,
4,4,Travis,453,Manor ISD Administrative Building,10335 US Highway 290E,,Austin,TX,48,78737,,30.225457,-97.947747,Street,4.85E+14,,,2/27/2016,Yes,
5,5,Travis,453,Elgin High School,14000 County Line Rd,,Austin,TX,48,78621,,30.365182,-97.403985,Street,4.85E+14,,,2/27/2016,Yes,
6,6,Travis,453,New Sweden Lutheran Church,12809 New Sweden Church Rd,,Manor,TX,48,78653,,30.403707,-97.482987,Street,4.85E+14,,,2/27/2016,Yes,
7,7,Travis,453,Parmer Lane Elementary School,1806 W Parmer Lane,,Austin,TX,48,78727,,30.413523,-97.690666,Street,4.85E+14,,,2/27/2016,Yes,
8,8,Travis,453,Park Crest Middle School,1500 North Railroad Ave,,Pflugerville,TX,48,78660,,30.457139,-97.616799,Street,4.85E+14,,,2/27/2016,Yes,
9,9,Travis,453,National American University,13801 Burnet Rd. #300,,Austin,TX,48,78727,,30.438111,-97.698467,Street,4.85E+14,,,2/27/2016,Yes,
10,10,Travis,453,Dessau Elementary School,1501 Dessau Ridge Ln.,,Austin,TX,48,78754,,30.400107,-97.641101,Street,4.85E+14,,,2/27/2016,Yes,
11,11,Travis,453,Turner-Roberts Rec. Center,7201 Colony Loop Dr.,,Austin,TX,48,78724,,30.302334,-97.637264,Street,4.85E+14,,,2/27/2016,Yes,
12,12,Travis,453,Memorial United Methodist Church,6100 Berkman Drive,,Austin,TX,48,78723,,30.314935,-97.692203,Street,4.85E+14,,,2/27/2016,Yes,
13,13,Travis,453,LBJ High School,7309 Lazy Creek Dr.,,Austin,TX,48,78724,,30.31362,-97.657774,Street,4.85E+14,,,2/27/2016,Yes,
14,14,Travis,453,YMCA East Community Branch,5315 Ed Bluestein Blvd.,,Austin,TX,48,78723,,30.291973,-97.663426,Street,4.85E+14,,,2/27/2016,Yes,
15,15,Travis,453,Murchison Elementary School,2215 Kelly Ln.,,Pflugerville,TX,48,78660,,30.468249,-97.586337,Street,4.85E+14,,,2/27/2016,Yes,
16,16,Travis,453,Carver Branch Library,1161 Angelina St.,,Austin,TX,48,78702,,30.269919,-97.724347,Street,4.85E+14,,,2/27/2016,Yes,
17,17,Travis,453,Bluebonnet Tr. Elementary School,11316 Farmhaven Rd.,,Austin,TX,48,78754,,30.352512,-97.616636,Street,4.85E+14,,,2/27/2016,Yes,
18,18,Travis,453,David Chapel Portable,2211 East MLK Jr. Blvd.,,Austin,TX,48,78702,,30.280165,-97.7182,Street,4.85E+14,,,2/27/2016,Yes,
19,19,Travis,453,Sims Elementary School,1203 Springdale Rd,,Austin,TX,48,78721,,30.278942,-97.686858,Street,4.85E+14,,,2/27/2016,Yes,
20,20,Travis,453,Pecan Springs Elementary School,3100 Rogge Ln.,,Austin,TX,48,78723,,30.303154,-97.67812,Street,4.85E+14,,,2/27/2016,Yes,
21,21,Travis,453,Blanton Elementary School,5408 Westminster Dr.,,Austin,TX,48,78723,,30.306152,-97.689548,Street,4.85E+14,,,2/27/2016,Yes,
22,22,Travis,453,Messiah Lutheran Church,5701 Cameron Rd.,,Austin,TX,48,78723,,30.315133,-97.702051,Street,4.85E+14,,,2/27/2016,Yes,
23,23,Travis,453,Pfluger Hall,203B East Pecan St.,,Austin,TX,48,78701,,30.352312,-97.698841,Street,4.85E+14,,,2/27/2016,Yes,
24,24,Travis,453,Blackhawk Amenity Center,3111 Speidel Dr,,Pflugerville,TX,48,78660,,30.476753,-97.566476,Street,4.85E+14,,,2/27/2016,Yes,
25,25,Travis,453,Gus Garcia Rec Center,1201 East Rundberg Ln.,,Austin,TX,48,78753,,30.353933,-97.681612,Street,4.85E+14,,,2/27/2016,Yes,
26,26,Travis,453,Dobie Middle School,1200 East Rundberg Ln.,,Austin,TX,48,78753,,30.354157,-97.681213,Street,4.85E+14,,,2/27/2016,Yes,
27,27,Travis,453,Travis County Airport Office,5501 Airport Blvd.,,Austin,TX,48,78751,,30.316491,-97.713744,Street,4.85E+14,,,2/27/2016,Yes,
28,28,Travis,453,Windermere Elem. School,1101 Picadilly Dr.,,Pflugerville,TX,48,78660,,30.465005,-97.642012,Street,4.85E+14,,,2/27/2016,Yes,
29,29,Travis,453,County Tax Office (Community Room),15822 Foothill Farms Loop,,Pflugerville,TX,48,78660,,30.449182,-97.651409,Street,4.85E+14,,,2/27/2016,Yes,
30,30,Travis,453,Reilly Elementary School,405 Denson Dr.,,Austin,TX,48,78752,,30.32826,-97.719485,Street,4.85E+14,,,2/27/2016,Yes,
31,31,Travis,453,Brookhollow Elem. School,1200 North Railroad Ave,,Pflugerville,TX,48,78660,,30.453353,-97.617263,Street,4.85E+14,,,2/27/2016,Yes,
32,32,Travis,453,Dottie Jordan Recreation Center,2803 Loyola Ln.,,Austin,TX,48,78723,,30.314899,-97.67407,Street,4.85E+14,,,2/27/2016,Yes,
33,33,Travis,453,Maplewood Elementary School,3808 Maplewood Ave.,,Austin,TX,48,78722,,30.292359,-97.714579,Street,4.85E+14,,,2/27/2016,Yes,
34,34,Travis,453,Pioneer Crossing Elementary School,11300 Samsung Blvd.,,Austin,TX,48,78754,,30.361524,-97.639463,Street,4.85E+14,,,2/27/2016,Yes,
35,35,Travis,453,Bluebonnet Tr. Elementary School,11316 Farmhaven Rd.,,Austin,TX,48,78754,,30.352512,-97.616636,Street,4.85E+14,,,2/27/2016,Yes,
36,36,Travis,453,Virginia Brown Recreation Center,7500 Blessing Ave.,,Austin,TX,48,78752,,30.331962,-97.693195,Street,4.85E+14,,,2/27/2016,Yes,
37,37,Travis,453,Spring Hill Elementary School,600 S. Heatherwilde Blvd.,,Pflugerville,TX,48,78660,,30.44314,-97.643337,Street,4.85E+14,,,2/27/2016,Yes,
38,38,Travis,453,Barrington Elementary School,400 Cooper Dr.,,Austin,TX,48,78753,,30.360326,-97.696146,Street,4.85E+14,,,2/27/2016,Yes,
39,39,Travis,453,Winters Building,701 West 51st St.,,Austin,TX,48,78751,,30.318429,-97.730598,Street,4.85E+14,,,2/27/2016,Yes,
40,40,Travis,453,Red River Church,4425 Red River St.,,Austin,TX,48,78751,,30.304113,-97.719879,Street,4.85E+14,,,2/27/2016,Yes,
41,41,Travis,453,Boulder Ridge Community Room,3300 Killingsworth Ln.,,Pflugerville,TX,48,78660,,30.411421,-97.604029,Street,4.85E+14,,,2/27/2016,Yes,
