Name,Address,City,Date,Zipcode,Start Time,End Time,Latitude,Longitude,Area of the City,Type,Hours,Election Code
Manor ISD Administration Building,10335 Hwy 290 East ,Manor,10/21/2013,78653,09:00,18:00,30.344649,-97.573453,E,EM,V,G13
Sam Houston Building,201 East 14th Street ,Austin,10/21/2013,78701,08:00,12:00,30.27514,-97.73859,C,EM,V,G13
YMCA North Austin Branch,1000 West Rundberg Lane ,Austin,10/21/2013,78758,09:00,13:00,30.36491,-97.70015,N,EM,V,G13
Travis Building,1701 North Congress Avenue ,Austin,10/21/2013,78701,14:00,17:00,30.27906,-97.73823,C,EM,V,G13
ACC Northridge Campus,11928 Stonehollow Drive ,Austin,10/21/2013,78758,15:00,19:00,30.40319,-97.70448,N,EM,V,G13
Travis County Commissioners Court,700 Lavaca Street,Austin,10/22/2013,78701,08:00,17:00,30.270243,-97.745211,C,EM,V,G13
Concordia University,11400 Concordia University Drive (Main Lobby-Bldg A) ,Austin,10/22/2013,78726,09:00,18:00,30.420193,-97.836748,NW,EM,V,G13
Cambridge Villas Senior Apartments,15711 Dessau Road ,Pflugerville,10/22/2013,78660,08:00,10:00,30.430766,-97.621551,NE,EM,V,G13
Heatherwilde Assisted Living,401 South Heatherwilde Boulevard ,Pflugerville,10/22/2013,78660,12:00,14:00,30.443984,-97.641427,NE,EM,V,G13
Conservatory at Wells Branch,14320 Tandem Boulevard ,Austin,10/22/2013,78728,16:00,18:00,30.444197,-97.694979,N,EM,V,G13
Del Valle ISD Administration Building,5301 Ross Road,Del Valle,10/23/2013,78617,09:00,18:00,30.176036,-97.613418,SE,EM,V,G13
Heritage Pointe,1950 Webberville Road ,Austin,10/23/2013,78721,08:00,10:00,30.284326,-97.672078,E,EM,V,G13
Heartland Health Care Center,11406 Rustic Rock Drive ,Austin,10/23/2013,78750,12:00,14:00,30.429961,-97.78259,NW,EM,V,G13
Deer Creek Elementary School,2420 Zeppelin Drive ,Cedar Park,10/23/2013,78613,16:30,19:00,30.482612,-97.853186,NW,EM,V,G13
Stephen F. Austin Building,1700 North Congress Avenue ,Austin,10/23/2013,78701,08:00,12:00,30.27938,-97.73936,C,EM,V,G13
Central Services Building,1711 San Jacinto Boulevard ,Austin,10/23/2013,78701,14:00,17:00,30.278517,-97.73592,C,EM,V,G13
Dove Springs Recreation Center,5801 Ainez Drive,Austin,10/24/2013,78744,09:00,12:00,30.187712,-97.738227,SE,EM,V,G13
ACC Eastview Campus,3401 Webberville Road ,Austin,10/24/2013,78702,14:00,19:00,30.26834,-97.70696,E,EM,V,G13
Mary Lee Foundation Community Center,1339 Lamar Square Drive ,Austin,10/24/2013,78704,08:00,12:00,30.254453,-97.76359,S,EM,V,G13
Services for the Deaf & Hard of Hearing,"2201 Post Road, Suite 100 ",Austin,10/24/2013,78704,14:00,17:00,30.24085,-97.75135,S,EM,V,G13
Summit at Lakeway,1915 Lohmans Crossing Road ,Lakeway,10/24/2013,78734,08:00,10:00,30.347607,-97.976283,W,EM,V,G13
Ce-Bar Fire Department,353 South Commons Ford Road ,Austin,10/24/2013,78733,12:00,18:00,30.323827,-97.873383,W,EM,V,G13
