precinct,name,street,city,state,zip,geo_longitude,geo_latitude,geo_accuracy,notes
101,Dailey Middle School,14000 Westall Street,Austin,TX,78725,-97.589428,30.242626,house,"Combined precincts 101, 114, 115, 116, 119, 138"
114,Dailey Middle School,14000 Westall Street,Austin,TX,78725,-97.589428,30.242626,house,"Combined precincts 101, 114, 115, 116, 119, 138"
115,Dailey Middle School,14000 Westall Street,Austin,TX,78725,-97.589428,30.242626,house,"Combined precincts 101, 114, 115, 116, 119, 138"
116,Dailey Middle School,14000 Westall Street,Austin,TX,78725,-97.589428,30.242626,house,"Combined precincts 101, 114, 115, 116, 119, 138"
119,Dailey Middle School,14000 Westall Street,Austin,TX,78725,-97.589428,30.242626,house,"Combined precincts 101, 114, 115, 116, 119, 138"
138,Dailey Middle School,14000 Westall Street,Austin,TX,78725,-97.589428,30.242626,house,"Combined precincts 101, 114, 115, 116, 119, 138"
102,Copperfield Elementary School,12135 Thompkins Dr,Austin,TX,78753,-97.660374,30.388662,house,
103,Graham Elementary School,11211 Tom Adams Drive,Austin,TX,78753,-97.669476,30.372853,house,"Combined precincts 103, 108"
108,Graham Elementary School,11211 Tom Adams Drive,Austin,TX,78753,-97.669476,30.372853,house,"Combined precincts 103, 108"
104,Cedar View Rehabilitation,11020 Dessau Road,Austin,TX,78754,-97.668132,30.369133,house,
105,Manor Isd Administration Bldg,10335 Hwy 290 E,Manor,TX,78653,-97.573142,30.345047,house,
106,Neidig Elementary School,13700 County Line Road,Elgin,TX,78621,-97.407671,30.360388,house,
107,New Sweden Lutheran Church,12809 New Sweden Church R,Manor,TX,78653,-97.490648,30.404693,house,
103,Graham Elementary School,11211 Tom Adams Drive,Austin,TX,78753,-97.669476,30.372853,house,"Combined precincts 103, 108"
108,Graham Elementary School,11211 Tom Adams Drive,Austin,TX,78753,-97.669476,30.372853,house,"Combined precincts 103, 108"
109,Parmer Lane Elementary School,1806 Parmer Ln,Austin,TX,78729,-97.691717,30.414372,house,"Combined precincts 109, 111"
111,Parmer Lane Elementary School,1806 Parmer Ln,Austin,TX,78729,-97.691717,30.414372,house,"Combined precincts 109, 111"
