precinct,name,street,city,state,geo_longitude,geo_latitude,geo_accuracy,notes
101,Dailey Middle School,14000 Westall St,Austin,TX,-97.5899360980799,30.242565965027,house,
102,Copperfield Elementary School,12135 Thompkins Dr,Austin,TX,-97.6595456869998,30.3884178845114,house,
103,Graham Elementary School,11211 Tom Adams Dr,Austin,TX,-97.6689071053059,30.3727730933996,house,
104,Cedar View Rehabilitation (NEW),11020 Dessau Rd,Austin,TX,-97.6689918744947,30.3637021066281,secondary,
105,Manor ISD Admin. Building,10335 US Highway 290 E,Austin,TX,,,,Geocoding failed -- send corrections to chip@unicom.com
106,Travis County Sheriff's Office (East/Este),7811 Burleson-Manor Rd,Austin,TX,-97.5222421071382,30.2659417670335,house,
108,Combined @ 103 Graham Elementary,11211 Tom Adams Dr,Austin,TX,-97.6689071053059,30.3727730933996,house,
109,Parmer Lane Elementary School,1806 Parmer Ln,Austin,TX,-97.67459015,30.40801825,primary,
111,Westview Middle School,1805 Scofield Ln,Austin,TX,-97.6895363551514,30.417185802798,house,
112,Dessau Elementary School,1501 Dessau Ridge Ln,Austin,TX,-97.643724976334,30.4015834724123,house,
113,Combined @ 112 Dessau Elementary,1501 Dessau Ridge Ln,Austin,TX,-97.643724976334,30.4015834724123,house,
114,Webberville Park Office (NEW),2305 Park Ln,Austin,TX,-96.2961793808957,30.0008147299768,residential,
115,Combined @ 114 Webberville Park Office,2305 Park Ln,Austin,TX,-96.2961793808957,30.0008147299768,residential,
116,Combined @ 101 Dailey Middle School,14000 Westall St,Austin,TX,-97.5899360980799,30.242565965027,house,
117,Overton Elementary School (NEW),7201 Colony Loop Dr,Austin,TX,-97.6343775033804,30.3019229173104,house,
118,Combined @ 130 Pearce Middle School,6401 North Hampton Dr,Austin,TX,,,,Geocoding failed -- send corrections to chip@unicom.com
119,Combined @ 114 Webberville Park Office,2305 Park Ln,Austin,TX,-96.2961793808957,30.0008147299768,residential,
120,Combined @ 117 Overton Elementary,7201 Colony Loop Dr,Austin,TX,-97.6343775033804,30.3019229173104,house,
121,LBJ High School,7309 Lazy Creek Dr,Austin,TX,-97.6570583612555,30.3142183066011,house,
122,Combined @ 132 Pecan Springs Elementary,3100 Rogge Ln,Austin,TX,-97.6764061262594,30.303046701426,house,
124,Carver Complex,1161 Angelina St,Austin,TX,-97.7247862216522,30.2712441623995,residential,
125,Combined @ 154 Bluebonnet Tr. Elementary,11316 Farmhaven Rd,Austin,TX,-97.6178330858558,30.3511385240083,house,
126,David Chapel Portable,2211 East MLK Jr. Blvd,Austin,TX,,,,Geocoding failed -- send corrections to chip@unicom.com
127,Combined @ 154 Bluebonnet Tr. Elementary,11316 Farmhaven Rd,Austin,TX,-97.6178330858558,30.3511385240083,house,
128,Combined @ 121 LBJ High School,7309 Lazy Creek Dr,Austin,TX,-97.6570583612555,30.3142183066011,house,
129,Sims Elementary School,1203 Springdale Rd,Austin,TX,-97.6865256491878,30.2793298342007,house,
130,Pearce Middle School (NEW),6401 North Hampton Dr,Austin,TX,,,,Geocoding failed -- send corrections to chip@unicom.com
131,Combined @ 121 LBJ High School,7309 Lazy Creek Dr,Austin,TX,-97.6570583612555,30.3142183066011,house,
132,Pecan Springs Elementary School,3100 Rogge Ln,Austin,TX,-97.6764061262594,30.303046701426,house,
133,Blanton Elementary School,5408 Westminster Dr,Austin,TX,-97.6900642584572,30.3065250265021,house,
134,Combined @ 121 LBJ High School,7309 Lazy Creek Dr,Austin,TX,-97.6570583612555,30.3142183066011,house,
135,Our Lady's Maronite Catholic Church (NEW),1320 E 51st St,Austin,TX,-97.6706388722767,30.2931716829165,secondary,
139,Gus Garcia Rec Center,1201 East Rundberg Ln,Austin,TX,-97.681651403456,30.353821576169,house,
140,Dobie Middle School,1200 East Rundberg Ln,Austin,TX,-97.680380310932,30.3541029465022,house,
141,Combined @ 139 Gus Garcia Rec Center,1201 East Rundberg Ln,Austin,TX,-97.681651403456,30.353821576169,house,
142,Travis County Airport Blvd. Office (NEW),5501 Airport Blvd,Austin,TX,-97.7127669361552,30.3163726711489,house,
148,Combined @ 112 Dessau Elementary,1501 Dessau Ridge Ln,Austin,TX,-97.643724976334,30.4015834724123,house,
149,Reilly Elementary School,405 Denson Dr,Austin,TX,-97.7199024879422,30.328122122344,house,
151,Combined @ 130 Pearce Middle School,6401 North Hampton Dr,Austin,TX,,,,Geocoding failed -- send corrections to chip@unicom.com
152,Maplewood Elementary School,3808 Maplewood Ave,Austin,TX,-97.7144283911524,30.2925977645725,house,
153,Pioneer Crossing Elementary (NEW),11300 Samsung Blvd,Austin,TX,-97.6401590573916,30.3613303485886,house,
154,Bluebonnet Tr. Elementary School,11316 Farmhaven Rd,Austin,TX,-97.6178330858558,30.3511385240083,house,
156,Virginia Brown Recreation Center,7500 Blessing Ave,Austin,TX,-97.6932254951411,30.3320548351796,house,
160,Combined @ 112 Dessau Elementary,1501 Dessau Ridge Ln,Austin,TX,-97.643724976334,30.4015834724123,house,
164,Barrington Elementary School,400 Cooper Dr,Austin,TX,-97.6958790777777,30.360593769674,house,
200,Winters Building,701 West 51st St,Austin,TX,-97.7296837777778,30.3181524646465,house,
202,Ridgetop Elementary School,5005 Caswell Ave,Austin,TX,-97.7161089831354,30.311407777865,house,
203,Combined @ 112 Dessau Elementary,1501 Dessau Ridge Ln,Austin,TX,-97.643724976334,30.4015834724123,house,
205,Camden Huntingdon Apartments,12349 Metric Blvd,Austin,TX,-97.7133974813163,30.3839244875202,secondary,
