Name,Address,City,Zipcode,Latitude,Longitude,Area of the City,Type,Hours,Election Code
Ben Hur Shriners Hall,7811 Rockwood Lane ,Austin,78757,30.358129,-97.738055,NC,EV,R,G12
Carver Library and Museum Complex,1165 Angelina  Street ,Austin,78702,30.269872,-97.724054,E,EV,R,G12
"County Tax Office, Pflugerville",15822 Foothill Farms Loop ,Pflugerville,78660,30.44897,-97.65214,NE,EV,R,G12
Dan Ruiz Public Library,1600 Grove Boulevard ,Austin,78741,30.229464,-97.706652,SE,EV,R,G12
Dottie Jordan Recreation Center,2803 Loyola Lane ,Austin,78723,30.314135,-97.67395,E,EV,R,G12
Fiesta Mart Central,3909 North IH 35 ,Austin,78722,30.29598,-97.71741,E,EV,R,G12
Fiesta Mart Stassney,5510 South IH 35 ,Austin,78745,30.20036,-97.7643,S,EV,R,G12
Goodwill Industries Norwood,1015 Norwood Park Boulevard ,Austin,78753,30.338676,-97.694421,NE,EV,R,G12
Hancock Center,"1000 East 41st Street, Suite #710 ",Austin,78751,30.299815,-97.719698,C,EV,R,G12
HEB South Congress,2400 South Congress Avenue ,Austin,78704,30.239141,-97.755125,S,EV,R,G12
"Highland Mall, Suite #1390",6001 Airport Boulevard ,Austin,78752,30.325916,-97.713947,NC,EV,V,G12
Howson Branch Library,2500 Exposition Boulevard ,Austin,78703,30.298206,-97.767549,C,EV,R,G12
Lamar Plaza Shopping Center,1150 South Lamar Boulevard ,Austin,78704,30.255041,-97.762463,S,EV,R,G12
Parque Zaragoza Recreation Center,2608 Gonzales Street ,Austin,78702,30.26168,-97.712274,E,EV,R,G12
Randalls Ben White and Manchaca,2025 West Ben White Boulevard ,Austin,78704,30.229575,-97.789907,S,EV,R,G12
Randalls Brodie and Slaughter,9911 Brodie Lane ,Austin,78748,30.183919,-97.848262,S,EV,R,G12
Randalls Flagship at West Lake Hills,3300 Bee Caves Road ,West Lake Hills,78746,30.275376,-97.798812,W,EV,R,G12
Randalls Lakeway,2301 RR 620 South ,Lakeway,78734,30.342102,-97.967427,NW,EV,R,G12
Randalls Research and Braker,10900-D Research Boulevard ,Austin,78759,30.402038,-97.747421,NW,EV,R,G12
Randalls South Mopac and William Cannon,6600 South Mopac ,Austin,78749,30.22278,-97.836277,SW,EV,R,G12
Randalls Steiner Ranch,5145 RM 620 North ,Austin,78732,30.389683,-97.885008,NW,EV,R,G12
RRISD Performing Arts Center,5800 Mcneil drive ,Austin,78729,30.447305,-97.736049,N,EV,R,G12
"University of Texas, Flawn Academic Center",2400 Inner Campus Drive ,Austin,78713,30.286086,-97.74033,C,EV,R,G12
Mobile 1, ,-,-,-,-,-,-,-,G12
Mobile 2, ,-,-,-,-,-,-,-,G12
Mobile 3, ,-,-,-,-,-,-,-,G12
Mobile 4, ,-,-,-,-,-,-,-,G12
Mobile 5, ,-,-,-,-,-,-,-,G12
