precinct,name,street,city,state,zip,geo_longitude,geo_latitude,geo_accuracy,notes,directions
101,Dailey Middle School,14000 Westall Street,Austin,TX,78725,-97.589428,30.242626,house,"Combined precincts 101, 114, 115, 116, 119, 138",Just south of hornsby-dunlap elementary school.
114,Dailey Middle School,14000 Westall Street,Austin,TX,78725,-97.589428,30.242626,house,"Combined precincts 101, 114, 115, 116, 119, 138",Just south of hornsby-dunlap elementary school.
115,Dailey Middle School,14000 Westall Street,Austin,TX,78725,-97.589428,30.242626,house,"Combined precincts 101, 114, 115, 116, 119, 138",Just south of hornsby-dunlap elementary school.
116,Dailey Middle School,14000 Westall Street,Austin,TX,78725,-97.589428,30.242626,house,"Combined precincts 101, 114, 115, 116, 119, 138",Just south of hornsby-dunlap elementary school.
119,Dailey Middle School,14000 Westall Street,Austin,TX,78725,-97.589428,30.242626,house,"Combined precincts 101, 114, 115, 116, 119, 138",Just south of hornsby-dunlap elementary school.
138,Dailey Middle School,14000 Westall Street,Austin,TX,78725,-97.589428,30.242626,house,"Combined precincts 101, 114, 115, 116, 119, 138",Just south of hornsby-dunlap elementary school.
102,Copperfield Elementary School,12135 Thompkins Dr,Austin,TX,78753,-97.660374,30.388662,house,,"From ih 35 north, exit east yager lane, go east on yager ln, turn right on thompkins dr. the school will be on the left."
103,Graham Elementary School,11211 Tom Adams Drive,Austin,TX,78753,-97.669476,30.372853,house,"Combined precincts 103, 108","From ih 35 north, east on east braker ln, south on tom adams dr."
108,Graham Elementary School,11211 Tom Adams Drive,Austin,TX,78753,-97.669476,30.372853,house,"Combined precincts 103, 108","From ih 35 north, east on east braker ln, south on tom adams dr."
104,Cedar View Rehabilitation,11020 Dessau Road,Austin,TX,78754,-97.668132,30.369133,house,,South of the dessau and braker intersection.
105,Manor Isd Administration Bldg,10335 Hwy 290 E,Manor,TX,78653,-97.573142,30.345047,house,,On the south side of hwy 290 near the technical school
106,Neidig Elementary School,13700 County Line Road,Elgin,TX,78621,-97.407671,30.360388,house,,"Located north of highway290 on the west side of county line rd, and south of elgin high school."
107,New Sweden Lutheran Church,12809 New Sweden Church R,Manor,TX,78653,-97.490648,30.404693,house,,"From hwy 290 east, north on fm 973 passing sparks lane and then east on new sweden church road in manor."
103,Graham Elementary School,11211 Tom Adams Drive,Austin,TX,78753,-97.669476,30.372853,house,"Combined precincts 103, 108","From ih 35 north, east on east braker ln, south on tom adams dr."
108,Graham Elementary School,11211 Tom Adams Drive,Austin,TX,78753,-97.669476,30.372853,house,"Combined precincts 103, 108","From ih 35 north, east on east braker ln, south on tom adams dr."
109,Parmer Lane Elementary School,1806 Parmer Ln,Austin,TX,78729,-97.691717,30.414372,house,"Combined precincts 109, 111","From ih 35 north, exit west on parmer lane. polling place is at northwest corner of parmer lane and metric blvd."
