precinct,name,street,city,state,zip,geo_longitude,geo_latitude,geo_accuracy,notes
101,Dailey Middle School,14000 Westall Street,Austin,TX,78725,-97.58975,30.242793,house,"Combined precincts 101, 114, 115, 116, 119, 138"
102,Copperfield Elementary School,12135 Thompkins Drive,Austin,TX,78753,-97.660432,30.388804,house,""
103,Graham Elementary School,11211 Tom Adams Drive,Austin,TX,78753,-97.668865,30.37256,house,"Combined precincts 103, 108"
104,Cedar View Rehabilitation,11020 Dessau Road,Austin,TX,78754,-97.668328,30.369802,house,""
105,Manor ISD Administration Building,10335 Hwy 290 East,Manor,TX,78653,-97.573142,30.345047,house,""
106,Neidig Elementary School,13700 County Line Road,Elgin,TX,78621,-97.407671,30.360388,house,""
107,New Sweden Lutheran Church,12809 New Sweden Church Road,Manor,TX,78653,-97.48647,30.40574,house,""
108,Graham Elementary School,11211 Tom Adams Drive,Austin,TX,78753,-97.668865,30.37256,house,"Combined precincts 103, 108"
109,Parmer Lane Elementary School,1806 Parmer Lane,Austin,TX,78727,-97.691717,30.414372,house,""
110,Park Crest Middle School,1500 North Railroad Avenue,Pflugerville,TX,78660,-97.61767,30.45636,house,"Combined precincts 110, 161"
111,Westview Middle School,1805 Scofield Lane,Austin,TX,78727,-97.68867,30.41761,house,""
112,Dessau Elementary School,1501 Dessau Ridge Lane,Austin,TX,78754,-97.64394,30.40165,house,""
113,Wieland Elementary School,900 Tudor House Road,Pflugerville,TX,78660,-97.63925,30.42227,house,""
114,Dailey Middle School,14000 Westall Street,Austin,TX,78725,-97.58975,30.242793,house,"Combined precincts 101, 114, 115, 116, 119, 138"
115,Dailey Middle School,14000 Westall Street,Austin,TX,78725,-97.58975,30.242793,house,"Combined precincts 101, 114, 115, 116, 119, 138"
116,Dailey Middle School,14000 Westall Street,Austin,TX,78725,-97.58975,30.242793,house,"Combined precincts 101, 114, 115, 116, 119, 138"
117,Overton Elementary School,7201 Colony Loop Drive,Austin,TX,78724,-97.63674,30.30024,house,"Combined precincts 117, 120"
118,Memorial United Methodist Church,6100 Berkman Drive,Austin,TX,78723,-97.692897,30.316303,house,"Combined precincts 118, 130"
119,Dailey Middle School,14000 Westall Street,Austin,TX,78725,-97.58975,30.242793,house,"Combined precincts 101, 114, 115, 116, 119, 138"
120,Overton Elementary School,7201 Colony Loop Drive,Austin,TX,78724,-97.63674,30.30024,house,"Combined precincts 117, 120"
121,LBJ High School,7309 Lazy Creek Drive,Austin,TX,78724,-97.655561,30.31232,house,"Combined precincts 121, 128, 131, 134"
122,YMCA East Community Branch,5315 Ed Bluestein Boulevard,Austin,TX,78723,-97.662234,30.291849,house,""
123,Murchison Elementary School,2215 Kelly Lane,Pflugerville,TX,78660,-97.586403,30.468021,house,""
124,Carver Library and Museum Complex,1161 Angelina Street,Austin,TX,78702,-97.724054,30.269872,house,""
125,Bluebonnet Trail Elementary School,11316 Farmhaven Road,Austin,TX,78754,-97.61771,30.35188,house,"Combined precincts 125, 127, 154"
126,David Chapel Portable,2211 East MLK Jr. Boulevard,Austin,TX,78702,-97.71749,30.28008,house,""
127,Bluebonnet Trail Elementary School,11316 Farmhaven Road,Austin,TX,78754,-97.61771,30.35188,house,"Combined precincts 125, 127, 154"
128,LBJ High School,7309 Lazy Creek Drive,Austin,TX,78724,-97.655561,30.31232,house,"Combined precincts 121, 128, 131, 134"
129,Sims Elementary School,1203 Springdale Road,Austin,TX,78721,-97.68601,30.27949,house,""
130,Memorial United Methodist Church,6100 Berkman Drive,Austin,TX,78723,-97.692897,30.316303,house,"Combined precincts 118, 130"
131,LBJ High School,7309 Lazy Creek Drive,Austin,TX,78724,-97.655561,30.31232,house,"Combined precincts 121, 128, 131, 134"
132,Pecan Springs Elementary School,3100 Rogge Lane,Austin,TX,78723,-97.677104,30.302724,house,""
133,Blanton Elementary School,5408 Westminster Drive,Austin,TX,78723,-97.690741,30.306865,house,""
134,LBJ High School,7309 Lazy Creek Drive,Austin,TX,78724,-97.655561,30.31232,house,"Combined precincts 121, 128, 131, 134"
135,Messiah Lutheran Church,5701 Cameron Road,Austin,TX,78723,-97.701352,30.315441,house,""
136,Pfluger Hall,203B East Pecan Street,Pflugerville,TX,78660,-97.619641,30.439137,house,""
137,Rowe Lane Elementary School,3112 Speidel Drive,Pflugerville,TX,78660,-97.562628,30.477194,house,"Combined precincts 137, 163"
138,Dailey Middle School,14000 Westall Street,Austin,TX,78725,-97.58975,30.242793,house,"Combined precincts 101, 114, 115, 116, 119, 138"
139,Goodwill Industries Norwood,1015 Norwood Park Boulevard,Austin,TX,78753,-97.694421,30.338676,house,""
140,Dobie Middle School,1200 East Rundberg Lane,Austin,TX,78753,-97.68056,30.35397,house,""
141,Combined @ 139 Gus Garcia Recreation Center,1201 East Rundberg Lane,Austin,TX,78753,-97.68218,30.35266,house,""
142,"Combined @ Highland Mall, Suite #1390",6001 Airport Boulevard,Austin,TX,78752,-97.713947,30.325916,house,""
145,Windermere Elementary School,1100 Picadilly Drive,Pflugerville,TX,78660,-97.64189,30.46444,house,""
146,Pflugerville ISD Administration Building,1401 West Pecan Street,Pflugerville,TX,78660,-97.636496,30.446463,house,""
148,"County Tax Office, Pflugerville",15822 Foothill Farms Loop,Pflugerville,TX,78660,-97.65214,30.44897,house,""
149,Reilly Elementary School,405 Denson Drive,Austin,TX,78752,-97.720052,30.328009,house,""
150,Brookhollow Elementary School,1200 North Railroad Avenue,Pflugerville,TX,78660,-97.618074,30.452447,house,""
151,Dottie Jordan Recreation Center,2803 Loyola Lane,Austin,TX,78723,-97.67395,30.314135,house,""
152,Fiesta Mart Central,3909 North IH-35,Austin,TX,78722,-97.71741,30.29598,house,""
153,Pioneer Crossing Elementary School,11300 Samsung Boulevard,Austin,TX,78754,-97.639875,30.361804,house,""
154,Bluebonnet Trail Elementary School,11316 Farmhaven Road,Austin,TX,78754,-97.61771,30.35188,house,"Combined precincts 125, 127, 154"
156,Virgina Brown Recreation Center,7500 Blessing Avenue,Austin,TX,78752,-97.693058,30.331898,house,""
160,Spring Hill Elementary School,600 South Heatherwilde Boulevard,Pflugerville,TX,78660,-97.645025,30.442495,house,""
161,Park Crest Middle School,1500 North Railroad Avenue,Pflugerville,TX,78660,-97.61767,30.45636,house,"Combined precincts 110, 161"
163,Rowe Lane Elementary School,3112 Speidel Drive,Pflugerville,TX,78660,-97.562628,30.477194,house,"Combined precincts 137, 163"
164,Barrington Elementary School,400 Cooper Drive,Austin,TX,78753,-97.695934,30.361452,house,""
200,Winters Building,701 West 51st Street,Austin,TX,78751,-97.73044,30.31642,house,""
202,Hancock Center,"1000 East 41st Street, Suite #710",Austin,TX,78751,-97.719698,30.299815,house,""
203,Boulder Ridge Community Room,3300 Killingsworth Lane,Pflugerville,TX,78660,-97.60538,30.41318,house,""
205,Camden Huntingdon Apartments,12349 Metric Boulevard,Austin,TX,78758,-97.695365,30.410652,house,""
206,Lee Elementary School,3308 Hampton Road,Austin,TX,78705,-97.727165,30.293303,house,""
207,RRISD Performing Arts Center,5800 McNeil Drive,Austin,TX,78729,-97.736049,30.447305,house,""
208,"University of Texas, Flawn Academic Center",2400 Inner Campus Drive,Austin,TX,78712,-97.74033,30.286086,house,""
209,Cook Elementary School,1511 Cripple Creek Drive,Austin,TX,78758,-97.703948,30.377457,house,"Combined precincts 209, 222"
210,O. Henry Middle School,2610 West 10th Street,Austin,TX,78703,-97.774463,30.285998,house,"Combined precincts 210, 251"
211,Walnut Creek Elementary School,401 West Braker Lane,Austin,TX,78753,-97.684132,30.37941,house,""
212,Bridge Point Elementary School,6401 Cedar Street,Austin,TX,78746,-97.805743,30.339621,house,"Combined precincts 212, 221"
213,Cat Mountain Homeowners Association,6007 Mount Bonnell Road,Austin,TX,78731,-97.779876,30.348676,house,"Combined precincts 213, 220, 231"
214,Bryker Woods Elementary School,3309 Kerbey Lane,Austin,TX,78703,-97.750661,30.305105,house,""
215,Wells Branch Community Library,15001 Wells Port Drive,Austin,TX,78728,-97.67566,30.44587,house,""
216,Northwest Elementary School,14014 Thermal Drive,Austin,TX,78728,-97.675881,30.432588,house,""
217,Lanier High School,1201 Payton Gin Road,Austin,TX,78758,-97.70781,30.360795,house,"Combined precincts 217, 223, 224"
218,ACC Northridge Campus,11928 Stonehollow Drive,Austin,TX,78758,-97.70461,30.40315,house,""
219,Caldwell Elementary School,1718 Picadilly Drive,Round Rock,TX,78664,-97.655561,30.46767,house,""
220,Cat Mountain Homeowners Association,6007 Mount Bonnell Road,Austin,TX,78731,-97.779876,30.348676,house,"Combined precincts 213, 220, 231"
221,Bridge Point Elementary School,6401 Cedar Street,Austin,TX,78746,-97.805743,30.339621,house,"Combined precincts 212, 221"
222,Cook Elementary School,1511 Cripple Creek Drive,Austin,TX,78758,-97.703948,30.377457,house,"Combined precincts 209, 222"
223,Lanier High School,1201 Payton Gin Road,Austin,TX,78758,-97.70781,30.360795,house,"Combined precincts 217, 223, 224"
224,Lanier High School,1201 Payton Gin Road,Austin,TX,78758,-97.70781,30.360795,house,"Combined precincts 217, 223, 224"
225,Wells Branch MUD Recreation Center,3000 Shoreline Drive,Austin,TX,78728,-97.682812,30.455074,house,""
226,Villas of Bristol Heights Apartments,12041 Dessau Road,Austin,TX,78754,-97.651634,30.380687,house,"Combined precincts 226, 227"
227,Villas of Bristol Heights Apartments,12041 Dessau Road,Austin,TX,78754,-97.651634,30.380687,house,"Combined precincts 226, 227"
228,Emeritus at North Austin,5310 Duval Road,Austin,TX,78727,-97.744288,30.418998,house,"Combined precincts 228, 254, 267"
229,Wells Branch Community Center,2106 Klattenhoff Drive,Austin,TX,78728,-97.679121,30.441949,house,""
